Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Greedy Modularity,False,3,9,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.34998
Greedy Modularity,False,5,0,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.88647
Greedy Modularity,False,5,1,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.91895
Greedy Modularity,False,5,2,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.87874
Greedy Modularity,False,5,3,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.88205
Greedy Modularity,False,5,4,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.88129
Greedy Modularity,False,5,5,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.90717
Greedy Modularity,False,5,6,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.8846
Greedy Modularity,False,5,7,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.92979
Greedy Modularity,False,5,8,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.86361
Greedy Modularity,False,5,9,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.8949
Label Propagation,False,7,0,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.37095
Label Propagation,False,7,1,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.3017
Label Propagation,False,7,2,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.36428
Label Propagation,False,7,3,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.31602
Label Propagation,False,7,4,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.30705
Label Propagation,False,7,5,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.3289
Label Propagation,False,7,6,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.35091
Label Propagation,False,7,7,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.35935
Label Propagation,False,7,8,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.3496
Label Propagation,False,7,9,0.2552,0.36473,0.2552,0.2552,0.2552,1.75056,0.06959,0.50618,0.33378,0.21553,0.4795,0.30233,5.33652
Label Propagation,False,9,0,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.80639
Label Propagation,False,9,1,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.79979
Label Propagation,False,9,2,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.77966
Label Propagation,False,9,3,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.84814
Label Propagation,False,9,4,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.79707
Label Propagation,False,9,5,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.8037
Label Propagation,False,9,6,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.7879
Label Propagation,False,9,7,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.81091
Label Propagation,False,9,8,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.78837
Label Propagation,False,9,9,0.19606,0.29901,0.19606,0.19606,0.19606,2.04533,0.04558,0.5301,0.34294,0.14448,0.32143,0.22707,5.81632
Label Propagation,False,13,0,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.78732
Label Propagation,False,13,1,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.75596
Label Propagation,False,13,2,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.75173
Label Propagation,False,13,3,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.75746
Label Propagation,False,13,4,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.74989
Label Propagation,False,13,5,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.80387
Label Propagation,False,13,6,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.71174
Label Propagation,False,13,7,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.74479
Label Propagation,False,13,8,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.7376
Label Propagation,False,13,9,0.12705,0.26177,0.12705,0.12705,0.12705,2.18397,0.01489,0.46148,0.32361,0.09624,0.21411,0.15926,5.73481
Greedy Modularity,False,3,0,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.35334
Greedy Modularity,False,3,1,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.35469
Greedy Modularity,False,3,2,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.37441
Greedy Modularity,False,3,3,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.36289
Greedy Modularity,False,3,4,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.33416
Greedy Modularity,False,3,5,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.35348
Greedy Modularity,False,3,6,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.33767
Greedy Modularity,False,3,7,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.36718
Greedy Modularity,False,3,8,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.366
Greedy Modularity,False,3,9,0.09748,0.21687,0.09748,0.09748,0.09748,1.95775,0.00369,0.17884,0.29367,0.0417,0.09279,0.06764,5.34998
Greedy Modularity,False,5,0,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.88647
Greedy Modularity,False,5,1,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.91895
Greedy Modularity,False,5,2,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.87874
Greedy Modularity,False,5,3,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.88205
Greedy Modularity,False,5,4,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.88129
Greedy Modularity,False,5,5,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.90717
Greedy Modularity,False,5,6,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.8846
Greedy Modularity,False,5,7,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.92979
Greedy Modularity,False,5,8,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.86361
Greedy Modularity,False,5,9,0.08324,0.26944,0.08324,0.08324,0.08324,2.03303,0.03648,0.51431,0.34291,0.10581,0.2354,0.17551,5.8949
